,prob,S_label,true_label_proxy,marginalize
0,1,False,1,True
2,1,False,1,True
3,1,False,1,True
4,0,False,0,True
5,0,False,1,True
6,1,False,1,True
7,0,False,1,True
8,1,False,1,True
9,0,False,0,True
10,0,True,0,True
11,0,True,0,True
12,1,True,1,True
14,0,True,1,True
15,1,True,0,True
16,1,False,1,True
17,0,False,1,True
18,0,True,0,True
19,1,False,1,True
20,1,False,1,True
21,1,False,1,True
22,1,False,1,True
23,1,False,1,True
24,1,False,1,True
25,1,False,1,True
26,1,False,1,True
27,1,True,1,True
28,1,False,1,True
29,1,False,0,True
30,1,False,1,True
31,0,False,1,True
32,0,False,1,True
33,1,False,1,True
34,1,True,1,True
35,0,False,0,True
37,0,False,0,True
40,1,False,1,True
41,1,False,1,True
42,1,False,1,True
43,1,False,1,True
44,0,True,0,True
45,1,True,1,True
46,1,False,1,True
47,1,True,1,True
50,1,False,1,True
51,1,False,1,True
52,1,False,1,True
53,1,False,1,True
54,0,False,0,True
55,1,False,1,True
57,1,True,1,True
58,1,True,1,True
59,0,True,0,True
60,1,False,1,True
62,0,False,0,True
63,0,False,0,True
64,1,True,1,True
65,0,False,1,True
67,1,False,1,True
68,0,False,0,True
69,1,True,1,True
70,1,True,1,True
71,1,False,1,True
73,1,True,1,True
74,1,False,0,True
75,1,False,1,True
76,0,False,0,True
77,1,False,1,True
78,1,False,1,True
79,1,False,1,True
80,1,True,0,True
81,1,False,1,True
82,0,True,1,True
83,1,True,1,True
84,1,False,1,True
85,1,True,1,True
87,0,False,0,True
88,0,False,1,True
89,1,False,0,True
90,1,False,1,True
91,1,False,1,True
93,0,False,1,True
94,1,False,1,True
95,0,False,0,True
96,1,True,1,True
98,1,False,1,True
99,0,False,1,True
100,1,False,1,True
102,1,True,1,True
105,1,False,0,True
107,1,False,1,True
109,1,False,1,True
110,1,False,1,True
111,0,True,1,True
112,0,False,1,True
113,0,True,0,True
114,1,False,1,True
115,1,False,1,True
116,1,True,0,True
117,1,True,1,True
118,1,True,0,True
119,1,False,1,True
120,1,True,0,True
121,1,True,1,True
122,1,False,1,True
123,1,False,1,True
126,1,False,1,True
127,0,False,0,True
128,1,False,1,True
130,1,True,1,True
131,0,False,0,True
132,1,False,1,True
135,1,True,1,True
136,1,False,1,True
137,1,False,0,True
139,1,True,1,True
140,1,False,1,True
142,0,False,1,True
144,1,True,1,True
146,1,True,1,True
147,1,True,1,True
148,1,False,1,True
150,1,False,1,True
151,1,False,1,True
153,1,True,1,True
154,0,False,1,True
155,1,True,0,True
156,1,False,1,True
158,0,False,1,True
159,1,False,1,True
160,1,False,1,True
161,1,True,1,True
162,1,False,1,True
164,1,False,1,True
165,1,False,1,True
166,1,True,0,True
167,1,True,1,True
168,1,True,1,True
169,1,False,0,True
171,1,True,1,True
172,1,True,0,True
173,1,False,1,True
174,1,False,0,True
175,0,True,0,True
177,1,False,1,True
178,1,False,1,True
179,1,False,1,True
180,1,False,0,True
181,0,False,0,True
182,0,False,0,True
183,1,False,1,True
184,1,False,0,True
186,0,True,0,True
187,0,False,1,True
188,1,False,0,True
189,0,True,1,True
191,0,False,0,True
192,0,False,0,True
194,0,False,0,True
196,1,True,1,True
197,0,True,0,True
198,0,False,1,True
199,1,False,0,True
200,1,False,1,True
201,1,False,1,True
202,1,False,1,True
203,1,False,0,True
204,1,False,1,True
205,0,False,1,True
206,1,False,1,True
208,0,False,1,True
210,1,False,1,True
